gdsNum,sugNum
17087,"335355, 355500, 365562, 450754, 832028"
112197,"231324, 342848, 354353, 414289, 450754"
231324,"112197, 312502, 354353, 357116, 414289"
312502,"231324, 354353, 357116, 365562, 414289"
335355,"17087, 355500, 365562, 450754, 832028"
354353,"112197, 231324, 312502, 342848, 357116"
355500,"17087, 335355, 365562, 450754, 832028"
357116,"231324, 312502, 354353, 475675, 599813"
365562,"17087, 312502, 335355, 342848, 354353"
414289,"112197, 231324, 312502, 354353, 446493"
446493,"31017, 231324, 354353, 414289, 475675"
450754,"17087, 112197, 312502, 335355, 354353"
475675,"112197, 231324, 312502, 354353, 357116"
745069,"231324, 312502, 342848, 354353, 365562"
